Número d'expedient,Codi districte,Nom districte,NK barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripció dia setmana,Dia de setmana,Descripció tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripció torn,Descripció causa vianant,Número de morts,Número de lesionats lleus,Número de lesionats greus,Número de víctimes,Número de vehicles implicats,Coordenada UTM (Y),Coordenada UTM (X)
2013S007360,-1,Desconegut,-1--1--1,Desconegut,-1,Desconegut,Desconegut,Dimecres,3,Laboral,2013,10,Octubre,16,21,Tarda,Desconegut,0,1,0,1,2,-1,-1
2013S007723,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,152600,Guinardó,0028 0032,Dimarts,2,Laboral,2013,10,Octubre,29,21,Tarda,Desconegut,0,1,0,1,2,"4585218,67","431621,41"
2013S005373,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,134801,Freser,0053 0053,Dimarts,2,Laboral,2013,7,Juliol,23,10,Matí,Creuar per fora pas de vianants,0,1,0,1,1,"4585049,89","431605,09"
2013S001486,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,161407,Indústria,0224 0224,Dimarts,2,Laboral,2013,2,Febrer,26,10,Matí,Altres,0,1,0,1,1,"4584836,20","431302,26"
2013S008254,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,161101,Independència,0357 0357,Dilluns,1,Laboral,2013,11,Novembre,18,16,Tarda,Desconegut,0,1,0,1,2,"4584704,26","431385,76"
2013S003994,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,289105,Rosselló,0548 0548,Diumenge,7,Laboral,2013,6,Juny,2,12,Matí,Desconegut,0,1,0,1,2,"4584719,19","431587,25"
2013S001527,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,105304,Dos de Maig,0228 0228,Dimecres,3,Laboral,2013,2,Febrer,27,08,Matí,Desconegut,0,0,0,0,1,"4584247,30","431675,21"
2013S000289,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,161101,Independència,0278 0278,Dilluns,1,Laboral,2013,1,Gener,14,08,Matí,Desconegut,0,1,0,1,2,"4584389,26","431721,60"
2013S006853,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,161101,Independència,0317 0317,Divendres,5,Laboral,2013,9,Setembre,27,19,Tarda,Desconegut,0,1,0,1,2,"4584497,55","431586,08"
2013S002142,10,Sant Martí,102-10-72,Sant Martí de Provençals,30409,Bac de Roda,0165 0169,Divendres,5,Laboral,2013,3,Març,22,13,Matí,Desconegut,0,2,0,2,2,"4584866,72","432896,40"
2013S001337,10,Sant Martí,101-10-65,el Clot,18505,Aragó,0560 0560,Dijous,4,Laboral,2013,2,Febrer,21,11,Matí,Desconegut,0,1,0,1,2,"4584263,32","431871,18"
