"TIME","GEO","INDIC_ED","Value"
"2002","European Union (27 countries)","Total public expenditure on education as % of GDP, for all levels of education combined","5.10"
"2002","European Union (27 countries)","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","1.14"
"2002","European Union (27 countries)","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","2.32"
"2002","European Union (27 countries)","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","1.15"
"2002","European Union (27 countries)","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.50"
"2002","European Union (27 countries)","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","4.80"
"2002","European Union (27 countries)","Public subsidies to the private sector as % of GDP, for all levels of education combined","0.30"
"2002","European Union (27 countries)","Total public expenditure on education as % of total public expenditure, for all levels of education combined","11.03"
"2002","European Union (27 countries)","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","10.38"
"2002","European Union (27 countries)","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","0.65"
"2002","European Union (27 countries)","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","0.60"
"2002","European Union (27 countries)","Total public expenditure on education as % of gross national income, for all levels of education combined","5.14"
"2002","European Union (25 countries)","Total public expenditure on education as % of GDP, for all levels of education combined","5.12"
"2002","European Union (25 countries)","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)",":"
"2002","European Union (25 countries)","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)",":"
"2002","European Union (25 countries)","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)",":"
"2002","European Union (25 countries)","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level",":"
"2002","European Union (25 countries)","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined",":"
"2002","European Union (25 countries)","Public subsidies to the private sector as % of GDP, for all levels of education combined",":"
"2002","European Union (25 countries)","Total public expenditure on education as % of total public expenditure, for all levels of education combined",":"
"2002","European Union (25 countries)","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined",":"
"2002","European Union (25 countries)","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined",":"
"2002","European Union (25 countries)","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined",":"
